Month,Mkt (vwretd),SMB,HML,Risk-Free,CAP1RET,CAP2RET,CAP3RET,CAP4RET,CAP5RET,CAP6RET,CAP7RET,CAP8RET,CAP9RET,CAP10RET
19930430,-0.0253,-0.0066,0.0263,0.0024,0.00583,-0.00738,-0.00677,-0.02975,-0.01128,-0.01966,-0.01065,-0.01804,-0.02275,-0.02405
19930528,0.0227,0.0203,-0.0341,0.0022,0.07184,0.03623,0.02476,0.03435,0.01774,0.02502,0.03,0.0322,0.02959,0.02301
19930630,0.0027,-0.0032,0.0258,0.0025,0.02878,0.0356,-0.00472,0.01044,-0.00177,0.01223,0.0127,0.01178,0.01293,0.0025
19930730,-0.0034,0.0099,0.0323,0.0024,0.01766,0.01961,0.02947,0.00371,0.01645,0.00363,0.0098,-0.00052,0.00737,-0.0039
19930831,0.0349,0.0026,-0.0039,0.0025,0.00957,0.02357,0.02728,0.02338,0.03861,0.04505,0.03814,0.04689,0.04264,0.03554
19930930,-0.0068,0.0317,-0.0046,0.0026,0.01855,0.03872,-0.00023,0.02135,0.0174,0.02139,0.00855,0.00439,0.00494,-0.00872
19931029,0.0151,0.0141,-0.0163,0.0022,0.04949,0.05729,0.03937,0.03959,0.03142,0.0081,0.01642,0.01169,0.00579,0.01958
19931130,-0.0175,-0.0144,-0.003,0.0025,-0.00649,-0.04734,-0.03679,-0.02874,-0.03273,-0.03863,-0.03668,-0.02566,-0.02699,-0.00933
19931231,0.0158,0.0123,0.0057,0.0023,-0.00508,0.01629,0.02695,0.03193,0.02764,0.03991,0.03879,0.04047,0.04258,0.00949
19940131,0.0290,0.0009,0.0209,0.0025,0.05516,0.05886,0.05982,0.04424,0.03959,0.03572,0.02949,0.03598,0.02321,0.0321
19940228,-0.0288,0.0268,-0.0138,0.0021,-0.0008,-0.0151,-0.01862,-0.01547,-0.02189,-0.00983,-0.01452,-0.0083,-0.01952,-0.03082
19940331,-0.0457,-0.0095,0.0134,0.0027,-0.04291,-0.04663,-0.05185,-0.05583,-0.05551,-0.05538,-0.04628,-0.0544,-0.04312,-0.04098
19940429,0.0113,-0.0087,0.0165,0.0027,-0.01148,-0.02049,-0.0129,0.00912,0.01384,0.00794,0.01106,0.00898,0.01076,0.01566
19940531,0.0076,-0.0197,0.001,0.0032,-0.00447,0.00821,-0.00237,-0.00478,-0.00046,0.0066,-0.01115,-0.00675,-0.00068,0.01606
19940630,-0.0289,-0.0043,0.0171,0.0031,-0.03055,-0.01217,-0.01815,-0.02473,-0.02111,-0.02926,-0.01473,-0.02209,-0.02926,-0.02608
19940729,0.0294,-0.0182,0.0097,0.0028,0.00359,0.01312,0.0134,0.0178,0.01346,0.01942,0.02114,0.02959,0.03805,0.03292
19940831,0.0356,0.0144,-0.0347,0.0037,0.03838,0.02791,0.02152,0.02417,0.03308,0.03994,0.03735,0.04248,0.03969,0.03943
19940930,-0.0252,0.027,-0.018,0.0037,0.01895,0.01071,-0.00628,-0.01308,-0.01344,-0.00225,-0.01526,-0.01454,-0.01965,-0.02377
19941031,0.0103,-0.0218,-0.0233,0.0038,0.01476,-0.00015,-0.01255,-0.0169,-0.01824,-0.014,-0.01333,-0.00712,-0.00132,0.02217
19941130,-0.0415,-0.0016,-0.0005,0.0037,-0.0244,-0.02883,-0.05178,-0.02952,-0.03306,-0.03604,-0.04445,-0.04957,-0.04411,-0.03544
19941230,0.0102,0.0002,0.0028,0.0044,-0.01641,0.00897,-0.00888,-0.00509,0.00967,0.01841,0.02108,0.0104,0.01373,0.01517
19950131,0.0191,-0.0294,0.0172,0.0042,0.03539,0.02832,0.02454,0.02768,0.01299,0.00075,-0.00809,0.00194,0.01859,0.02803
19950228,0.0333,-0.0035,0.0041,0.004,0.0125,0.02682,0.02892,0.01931,0.02889,0.03124,0.03292,0.04077,0.04556,0.03637
19950331,0.0220,-0.0034,-0.0209,0.0046,-0.00417,0.00333,0.01209,-0.00188,0.00948,0.0155,0.0156,0.02255,0.02696,0.02842
19950428,0.0194,-0.0044,0.0169,0.0044,0.03214,0.02562,0.03208,0.01568,0.03517,0.02806,0.01151,0.01578,0.01895,0.02551
19950531,0.0302,-0.0227,0.0195,0.0054,0.00361,0.027,0.02974,0.0269,0.03356,0.02737,0.01089,0.02056,0.03139,0.03907
19950630,0.0171,0.0304,-0.0297,0.0047,0.04725,0.03693,0.02311,0.01993,0.03834,0.02869,0.02364,0.02756,0.02495,0.0202
19950731,0.0300,0.0222,-0.022,0.0045,0.07392,0.0448,0.03022,0.02586,0.03685,0.03622,0.03841,0.03936,0.04162,0.03263
19950831,0.0025,0.0181,0.019,0.0047,0.02863,0.02219,0.02296,0.01961,0.0061,0.02142,0.01874,0.01583,0.01354,0.0042
19950929,0.0348,-0.0201,-0.0101,0.0043,0.03299,0.01871,0.03227,0.01519,0.01881,0.0204,0.01743,0.01355,0.01653,0.04766
19951031,-0.0167,-0.0391,-0.001,0.0047,-0.06281,-0.0303,-0.02381,-0.03417,-0.03112,-0.04203,-0.047,-0.0306,-0.03107,-0.00402
19951130,0.0429,-0.0084,0.0033,0.0042,0.00829,0.00716,0.02043,0.01153,0.03863,0.03549,0.03888,0.04155,0.05256,0.048
19951229,0.0148,0.0038,0.0129,0.0049,-0.00766,0.02321,0.03108,0.0309,0.03738,0.03564,0.03429,0.02136,0.00815,0.02009
19960131,0.0284,-0.0257,0.0043,0.0043,0.0707,0.04064,0.02929,0.02474,0.03692,0.02322,0.01718,0.01405,0.02274,0.03656
19960229,0.0081,0.0207,-0.022,0.0039,0.04068,0.03066,0.0266,0.00847,0.00487,0.02629,0.02704,0.02265,0.01796,0.00925
19960329,0.0088,0.0128,0.0128,0.0039,0.01961,0.01911,0.02309,0.02067,0.01984,0.01397,0.02228,0.0251,0.02415,0.00924
19960430,0.0090,0.0493,-0.039,0.0046,0.0516,0.04833,0.03384,0.04017,0.03184,0.03399,0.03344,0.03818,0.02399,0.00782
19960531,0.0185,0.0316,-0.0142,0.0042,0.07643,0.06488,0.05278,0.03591,0.03336,0.02487,0.03211,0.02033,0.01082,0.02382
19960628,-0.0035,-0.0367,0.0203,0.004,-0.0262,-0.03038,-0.02412,-0.02592,-0.00588,-0.00658,-0.01553,-0.01998,-0.01082,0.00557
19960731,-0.0502,-0.0357,0.0431,0.0045,-0.0786,-0.06854,-0.05759,-0.03588,-0.0568,-0.04988,-0.05013,-0.05319,-0.06132,-0.04191
19960830,0.0234,0.0225,-0.0057,0.0041,0.02739,0.02724,0.03511,0.04349,0.03649,0.0489,0.05186,0.04971,0.04446,0.021
19960930,0.0436,-0.0082,-0.0379,0.0044,0.01547,0.03281,0.0197,0.01894,0.01434,0.02966,0.03625,0.02536,0.04255,0.05277
